"学号","姓名","性别","语文","数学","英语"
"2024030101","张伟","男",83,83,95
"2024030102","王芳","女",97,94,85
"2024030103","李娜","女",84,71,73
"2024030104","刘洋","男",55,51,59
"2024030105","陈静","女",87,92,85
"2024030106","杨波","男",75,66,66
"2024030107","赵敏","女",88,96,98
"2024030108","黄磊","男",80,78,61
"2024030109","周涛","男",57,50,67
"2024030110","吴倩","女",NA,79,88
"2024030111","徐鹏","男",67,58,73
"2024030112","孙丽","女",93,84,93
"2024030113","马超","男",35,47,47
"2024030114","朱婷","女",88,77,90
"2024030115","胡军","男",78,76,80
"2024030116","郭静","女",59,62,65
"2024030117","林峰","男",100,98,96
"2024030118","何洁","女",65,63,85
"2024030119","高翔","男",90,86,76
"2024030120","罗敏","女",58,68,66
"2024030121","郑浩","男",81,86,70
"2024030122","梁爽","女",60,63,78
"2024030123","谢强","男",56,48,49
"2024030124","宋佳","女",96,88,95
"2024030125","唐磊","男",70,67,NA
"2024030126","许静","女",82,85,91
"2024030127","邓超","男",53,52,75
"2024030128","冯雪","女",82,82,82
"2024030129","曹阳","男",54,54,69
"2024030130","彭辉","男",69,82,80
"2024030131","曾莉","女",82,93,92
"2024030132","萧云","女",73,64,58
"2024030133","田甜","女",95,84,94
"2024030134","董强","男",73,77,60
"2024030135","潘婷","女",89,89,71
"2024030136","于洋","男",77,64,75
"2024030137","蒋雯","女",94,94,100
"2024030138","蔡明","男",64,62,78
"2024030139","余波","男",77,83,65
"2024030140","杜鹃","女",73,85,82
